Unnamed: 0,Photo,Cond,Ci,Trmmol,VPD,LA,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,Pari,Press,id,X,SetLA
3,9.05,0.522,146.0,3.92,0.883,6.0,0.5,2.25,24.5,25.03,24.23,200.88,181.37,15.796,23.44,50.67,74.63,300.2,1799.0,98.23,Guelph_Ptre_2,,
4,2.78,0.52,82.1,3.91,0.884,6.0,0.5,2.25,24.48,25.0,24.23,99.85,93.56,15.729,23.363,50.41,74.47,300.2,1799.0,98.23,Guelph_Ptre_2,,
5,-0.407,0.5,51.8,3.82,0.891,6.0,0.5,2.25,24.47,24.99,24.23,50.54,50.97,15.829,23.281,50.85,74.24,300.2,1799.0,98.22,Guelph_Ptre_2,,
6,19.8,0.477,275.0,3.72,0.904,6.0,0.5,2.25,24.46,24.97,24.23,400.38,358.11,15.841,23.107,50.89,73.71,300.2,1800.0,98.22,Guelph_Ptre_2,,
7,20.0,0.474,272.0,3.73,0.909,6.0,0.5,2.25,24.46,24.96,24.23,399.21,356.62,15.769,23.046,50.57,73.52,300.2,1800.0,98.22,Guelph_Ptre_2,,
8,28.6,0.448,411.0,3.61,0.921,6.0,0.5,2.25,24.46,24.95,24.23,597.96,537.0,15.864,22.905,50.97,73.08,300.2,1800.0,98.22,Guelph_Ptre_2,,
9,34.9,0.425,561.0,3.51,0.938,6.0,0.5,2.25,24.45,24.95,24.23,798.07,723.24,15.88,22.728,51.02,72.54,300.2,1800.0,98.22,Guelph_Ptre_2,,
10,38.8,0.415,728.0,3.49,0.951,6.0,0.5,2.25,24.46,24.97,24.23,998.21,914.27,15.82,22.629,50.73,72.21,300.2,1800.0,98.22,Guelph_Ptre_2,,
11,40.6,0.394,903.0,3.37,0.959,6.0,0.5,2.25,24.45,24.94,24.23,1197.57,1108.97,15.922,22.498,51.15,71.8,300.2,1800.0,98.22,Guelph_Ptre_2,,
12,41.9,0.372,1180.0,3.24,0.97,6.0,0.5,2.25,24.46,24.95,24.23,1496.75,1403.89,16.08,22.414,51.72,71.52,300.2,1800.0,98.21,Guelph_Ptre_2,,
13,44.1,0.365,1650.0,3.22,0.981,6.0,0.5,2.25,24.46,24.98,24.23,1998.19,1897.79,16.046,22.344,51.5,71.28,300.2,1800.0,98.21,Guelph_Ptre_2,,
1,0.875761616,0.061329318,363.0708987,1.089661308,1.798810312,6.0,0.5,2.25,21.62356186,25.34379005,21.1099968,400.1304932,397.514801,12.19063091,14.33694935,47.43405533,55.78543091,300.2459106,1799.587646,100.9019394,LaSelva_Pmac_1,,
2,0.372945898,0.033448525,272.4494368,0.596880085,1.786754946,6.0,0.5,2.25,21.50019455,24.77158356,21.53733063,299.8764038,298.7747498,12.2009716,13.37779713,47.83520126,52.44906998,300.2459412,1800.117798,100.9044037,LaSelva_Pmac_1,,
3,0.002974427,0.021690845,193.6862703,0.397246825,1.824713708,6.0,0.5,2.25,21.99879074,24.77086258,22.42613792,199.8834229,199.7189331,12.21634579,12.9998703,46.45973206,49.43954086,300.2453613,1800.030884,100.9075317,LaSelva_Pmac_1,,
4,-0.391348084,0.017573504,133.0162279,0.328990001,1.861780888,6.0,0.5,2.25,22.18769264,24.90708542,22.43342781,99.95457458,100.6704483,12.23697376,12.88594627,46.00678253,48.44669342,300.2444458,1799.6427,100.9103622,LaSelva_Pmac_1,,
5,-0.420634493,0.014196224,89.61951403,0.270694236,1.893570975,6.0,0.5,2.25,22.32288551,25.03106499,22.61062431,43.1879921,44.00472641,12.26795959,12.80195236,45.7506218,47.74202728,300.2611694,1799.280029,100.9221344,LaSelva_Pmac_1,,
6,1.011446067,0.013774263,269.586127,0.260287946,1.876452289,6.0,0.5,2.25,22.08823204,24.94010353,22.26154327,400.0608215,397.8327026,12.28680992,12.80029011,46.48233795,48.42489243,300.2525024,1798.761719,100.9264984,LaSelva_Pmac_1,,
7,1.122789916,0.013971367,258.39567,0.264503392,1.880055801,6.0,0.5,2.25,22.06762505,24.970644,22.26462364,400.1040039,397.6500854,12.29984188,12.8216362,46.59077835,48.56728745,300.2470703,1799.418945,100.9279175,LaSelva_Pmac_1,,
8,2.260505397,0.015647077,348.3207346,0.292540436,1.858149215,6.0,0.5,2.25,22.24518585,24.89774132,22.68276787,599.9052734,595.0401001,12.32470894,12.90176868,46.18437958,48.34679794,300.2456665,1799.384277,100.9314957,LaSelva_Pmac_1,,
9,4.064853223,0.017292964,394.8497318,0.323784284,1.86205822,6.0,0.5,2.25,22.35999489,24.96457481,22.6542263,799.9368896,791.3019409,12.34917927,12.98780632,45.95502853,48.33155823,300.2494507,1799.027344,100.9339066,LaSelva_Pmac_1,,
10,5.635147475,0.018185885,467.1213876,0.340400483,1.862172828,6.0,0.5,2.25,22.23869705,24.99338722,22.4225235,1000.212891,988.2790527,12.36902905,13.04043007,46.37093353,48.88798523,300.2332458,1798.659424,100.9361954,LaSelva_Pmac_1,,
11,7.357304682,0.019353777,545.9203361,0.358319973,1.842938078,6.0,0.5,2.25,22.25376511,24.92548561,22.60881042,1200.005859,1184.455322,12.39697075,13.10363388,46.43343353,49.08027649,300.2488708,1799.299805,100.9369812,LaSelva_Pmac_1,,
12,9.198646344,0.020519794,724.5167314,0.381686977,1.852254872,6.0,0.5,2.25,22.3708725,25.01805687,22.61497116,1499.946411,1480.435791,12.43243694,13.18509769,46.23508835,49.03416824,300.2583008,1799.272949,100.9357224,LaSelva_Pmac_1,,
13,10.7582525,0.021035117,1106.221849,0.389793158,1.845623712,6.0,0.5,2.25,22.38793945,25.00769615,22.6146965,2000.195068,1977.155762,12.46282387,13.23147583,46.29948425,49.1550293,300.2416992,1799.35791,100.9345551,LaSelva_Pmac_1,,
1,8.988315448,0.601563924,333.3179087,10.1401808,2.060380735,6.0,0.5,2.25,28.84642601,29.14943695,28.42662048,399.9875183,374.4262085,0.202426255,20.06892776,0.505141079,50.08065796,300.1035156,1799.601074,99.47221375,Horizontes_Emex_1,,
2,7.522461909,0.540354061,243.5229784,9.748322208,2.158398279,6.0,0.5,2.25,27.67096519,29.22924232,26.52984047,299.9654541,279.4778748,0.157653034,19.2727356,0.421246171,51.49641037,300.091156,1800.444092,99.46868896,Horizontes_Emex_1,,
3,4.488628773,0.499948617,164.1595683,9.36332545,2.209338433,6.0,0.5,2.25,27.33071518,29.12746239,26.35489655,200.0145569,187.5295715,0.146924913,18.52075005,0.400466084,50.4811058,300.0978699,1800.442139,99.46644592,Horizontes_Emex_1,,
4,1.678485225,0.398381291,106.5797534,8.374884994,2.390847032,6.0,0.5,2.25,26.41901588,29.08467674,25.05600739,124.0494614,118.7062149,0.129525483,16.59508896,0.37248376,47.72343826,300.113739,1801.201294,99.46762085,Horizontes_Emex_1,,
5,1.837214825,0.329358807,104.0498174,7.583696081,2.552357124,6.0,0.5,2.25,26.28223228,29.120224,25.06207275,124.1832962,118.7112122,0.12372683,15.05490303,0.358693182,43.6452713,300.1581726,1798.7052,99.46788788,Horizontes_Emex_1,,
6,10.63247143,0.294405866,294.8213174,7.136838428,2.651579003,6.0,0.5,2.25,26.25310707,29.17641449,25.03829575,400.0786133,373.492157,0.12450736,14.19055748,0.361558825,41.20817947,300.1082458,1799.216919,99.46279144,Horizontes_Emex_1,,
7,11.27825486,0.240459383,275.8386819,6.327453131,2.819166142,6.0,0.5,2.25,25.75049019,29.22197914,24.28170395,399.9147949,372.6513367,0.123061582,12.61424923,0.368121266,37.73374176,300.0981445,1799.514282,99.45548248,Horizontes_Emex_1,,
8,15.02652476,0.191893184,405.452428,5.49736929,3.011093719,6.0,0.5,2.25,25.5209446,29.35239792,24.05445099,599.9645996,563.7268066,0.125311911,10.99517632,0.379955769,33.33825684,300.1099854,1799.58252,99.44565582,Horizontes_Emex_1,,
9,17.12263676,0.152698681,534.9785273,4.737323467,3.209804667,6.0,0.5,2.25,25.41430664,29.56635284,23.95493698,800.2130737,758.7942505,0.129238963,9.510210991,0.394320041,29.0165329,300.1141357,1798.724854,99.43724823,Horizontes_Emex_1,,
10,18.58764033,0.119941093,650.5356583,4.052973238,3.448764872,6.0,0.5,2.25,25.55248451,30.00438499,24.08124733,1000.101013,955.199707,0.137284458,8.173971176,0.415423512,24.73448181,300.1120605,1800.025879,99.4324646,Horizontes_Emex_1,,
