,unadjudicatedName,plantType,plantLeaf,plantForm,acceptedName,nameAuthor,nameAuthority,nameCategory,nameAdjudicator
59299,cordia bicolor,angiosperm,evergreen,tree,cordia bicolor,,,species,
5030,corymbia calophylla (prov boorara),angiosperm,evergreen,tree,corymbia calophylla,,,species,
4428,corymbia calophylla (prov cape richie),angiosperm,evergreen,tree,corymbia calophylla,,,species,
6251,corymbia calophylla (prov gingin),angiosperm,evergreen,tree,corymbia calophylla,,,species,
5637,corymbia calophylla (prov mogumber),angiosperm,evergreen,tree,corymbia calophylla,,,species,
27390,couepia longipondula,angiosperm,evergreen,tree,couepia longipondula,,,species,
27404,crysophillum sp.,angiosperm,evergreen,tree,crysophillum,,,genus,
35717,cucumis sativa,angiosperm,,forb,cucumis sativus,,,species,
29859,dacryodes excels,angiosperm,evergreen,tree,dacryodes excels,,,species,
27420,diospyrus cf. praetermissa,angiosperm,evergreen,tree,diospyrus,,,genus,
53275,dupontia fisheri,angiosperm,,graminoid,dupontia fisheri,,,species,
36795,elymus canadensis,angiosperm,,graminoid,elymus canadensis,,,species,
55430,entandrophragma excelsum,angiosperm,evergreen,tree,entandrophragma excelsum,,,species,
31389,eremophila scoparia,angiosperm,evergreen,tree,eremophila scoparia,,,species,
53385,eriophorum angustifolium,angiosperm,,graminoid,eriophorum angustifolium,,,species,
27435,eschweilera coriacea,angiosperm,evergreen,tree,eschweilera coriacea,,,species,
19909,eucalyptus cladocalyx,angiosperm,evergreen,tree,eucalyptus cladocalyx,,,species,
31553,eucalyptus clelandii,angiosperm,evergreen,tree,eucalyptus clelandii,,,species,
20209,eucalyptus crebra,angiosperm,evergreen,tree,eucalyptus crebra,,,species,
52069,eucalyptus delegatensis,angiosperm,evergreen,tree,eucalyptus delegatensis,,,species,
20427,eucalyptus dunnii,angiosperm,evergreen,tree,eucalyptus dunnii,,,species,
11303,eucalyptus globulus,angiosperm,evergreen,tree,eucalyptus globulus,,,species,
55690,eucalyptus maidenii,angiosperm,evergreen,tree,eucalyptus maidenii,,,species,
20706,eucalyptus melliodora,angiosperm,evergreen,tree,eucalyptus melliodora,,,species,
55956,eucalyptus microcorys,angiosperm,evergreen,tree,eucalyptus microcorys,,,species,
13118,eucalyptus parramattensis,angiosperm,evergreen,tree,eucalyptus parramattensis,,,species,
56959,eucalyptus saligna,angiosperm,evergreen,tree,eucalyptus saligna,,,species,
31643,eucalyptus salmonophloia,angiosperm,evergreen,tree,eucalyptus salmonophloia,,,species,
31790,eucalyptus salubris,angiosperm,evergreen,tree,eucalyptus salubris,,,species,
57778,eucalyptus sideroxylon,angiosperm,evergreen,tree,eucalyptus sideroxylon,,,species,
11092,eucalyptus tereticornis,angiosperm,evergreen,tree,eucalyptus tereticornis,,,species,
15452,eucalyptus tereticornis (prov temperate),angiosperm,evergreen,tree,eucalyptus tereticornis,,,species,
16280,eucalyptus tereticornis (prov tropical),angiosperm,evergreen,tree,eucalyptus tereticornis,,,species,
30216,eucalyptus tetrodonta,angiosperm,evergreen,tree,eucalyptus tetrodonta,,,species,
31908,eucalyptus transcontinentalis,angiosperm,evergreen,tree,eucalyptus transcontinentalis,,,species,
19077,fagus crenata,angiosperm,deciduous,tree,fagus crenata,,,species,
9383,fagus sylvatica,angiosperm,deciduous,tree,fagus sylvatica,,,species,
28234,ficus insipida,angiosperm,evergreen,tree,ficus insipida,,,species,
9655,fraxinus excelsior,angiosperm,deciduous,tree,fraxinus excelsior,,,species,
28659,garcinia madruno,angiosperm,evergreen,tree,garcinia madruno,,,species,
38091,glycine max,angiosperm,,forb,glycine max,,,species,
27442,guarea sp.,angiosperm,evergreen,tree,guarea,,,genus,
59445,guatteria dumetorum,angiosperm,evergreen,tree,guatteria dumetorum,,,species,
56202,hagenia abyssinica,angiosperm,evergreen,tree,hagenia abyssinica,,,species,
27450,jacaranda copaia,angiosperm,evergreen,tree,jacaranda copaia,,,species,
10012,juglans regia,angiosperm,deciduous,tree,juglans regia,,,species,
29172,lagerstroemia speciosa,angiosperm,evergreen,tree,lagerstroemia speciosa,,,species,
27473,licania micheli carobe,angiosperm,evergreen,tree,licania micheli,,,species,
27481,licania octandra,angiosperm,evergreen,tree,licania octandra,,,species,
7021,liquidambar styraciflua,angiosperm,deciduous,tree,liquidambar styraciflua,,,species,
